sample_id,read1,read2
HG00096,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00096-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00096-0-0-1-0_R2.fastq.gz
HG00101,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00101-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00101-0-0-1-0_R2.fastq.gz
HG00102,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00102-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00102-0-0-1-0_R2.fastq.gz
HG00105,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00105-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00105-0-0-1-0_R2.fastq.gz
HG00107,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00107-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00107-0-0-1-0_R2.fastq.gz
HG00108,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00108-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00108-0-0-1-0_R2.fastq.gz
HG00110,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00110-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00110-0-0-1-0_R2.fastq.gz
HG00111,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00111-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00111-0-0-1-0_R2.fastq.gz
HG00116,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00116-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00116-0-0-1-0_R2.fastq.gz
HG00119,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00119-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00119-0-0-1-0_R2.fastq.gz
HG00131,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00131-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00131-0-0-1-0_R2.fastq.gz
HG00132,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00132-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00132-0-0-1-0_R2.fastq.gz
HG00145,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00145-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00145-0-0-1-0_R2.fastq.gz
HG00160,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00160-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00160-0-0-1-0_R2.fastq.gz
HG00234,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00234-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00234-0-0-1-0_R2.fastq.gz
HG00239,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00239-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00239-0-0-1-0_R2.fastq.gz
HG00240,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00240-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00240-0-0-1-0_R2.fastq.gz
HG00242,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00242-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00242-0-0-1-0_R2.fastq.gz
HG00244,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00244-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00244-0-0-1-0_R2.fastq.gz
HG00250,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00250-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00250-0-0-1-0_R2.fastq.gz
HG00251,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00251-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00251-0-0-1-0_R2.fastq.gz
HG00255,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00255-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00255-0-0-1-0_R2.fastq.gz
HG00262,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00262-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00262-0-0-1-0_R2.fastq.gz
HG00268,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00268-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00268-0-0-1-0_R2.fastq.gz
HG00330,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00330-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00330-0-0-1-0_R2.fastq.gz
HG00360,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00360-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00360-0-0-1-0_R2.fastq.gz
HG00364,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00364-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00364-0-0-1-0_R2.fastq.gz
HG00365,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00365-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00365-0-0-1-0_R2.fastq.gz
HG00384,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00384-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG00384-0-0-1-0_R2.fastq.gz
HG01500,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01500-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01500-0-0-1-0_R2.fastq.gz
HG01697,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01697-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01697-0-0-1-0_R2.fastq.gz
HG01699,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01699-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01699-0-0-1-0_R2.fastq.gz
HG01756,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01756-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01756-0-0-1-0_R2.fastq.gz
HG01757,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01757-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01757-0-0-1-0_R2.fastq.gz
HG01761,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01761-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01761-0-0-1-0_R2.fastq.gz
HG01762,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01762-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01762-0-0-1-0_R2.fastq.gz
HG01770,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01770-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01770-0-0-1-0_R2.fastq.gz
HG01771,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01771-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01771-0-0-1-0_R2.fastq.gz
HG01781,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01781-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01781-0-0-1-0_R2.fastq.gz
HG01784,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01784-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG01784-0-0-1-0_R2.fastq.gz
HG02215,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG02215-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/HG02215-0-0-1-0_R2.fastq.gz
NA06985,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA06985-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA06985-0-0-1-0_R2.fastq.gz
NA11930,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA11930-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA11930-0-0-1-0_R2.fastq.gz
NA12342,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA12342-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA12342-0-0-1-0_R2.fastq.gz
NA12842,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA12842-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA12842-0-0-1-0_R2.fastq.gz
NA12843,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA12843-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA12843-0-0-1-0_R2.fastq.gz
NA12878,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA12878-0-0-0-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA12878-0-0-0-0_R2.fastq.gz
NA20502,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20502-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20502-0-0-1-0_R2.fastq.gz
NA20503,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20503-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20503-0-0-1-0_R2.fastq.gz
NA20507,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20507-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20507-0-0-1-0_R2.fastq.gz
NA20513,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20513-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20513-0-0-1-0_R2.fastq.gz
NA20514,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20514-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20514-0-0-1-0_R2.fastq.gz
NA20798,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20798-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20798-0-0-1-0_R2.fastq.gz
NA20803,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20803-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20803-0-0-1-0_R2.fastq.gz
NA20804,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20804-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20804-0-0-1-0_R2.fastq.gz
NA20805,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20805-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20805-0-0-1-0_R2.fastq.gz
NA20821,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20821-0-0-1-0_R1.fastq.gz,https://gencove-sbir.s3.amazonaws.com/fastq/experiment-A/NA20821-0-0-1-0_R2.fastq.gz
